epoch,train_loss,train_acc,test_loss,test_acc,lr
0,3.768827,0.2487,2.324541,0.4483,0.00049901
1,1.808510,0.5320,1.689632,0.5996,0.00049802
2,1.326458,0.6469,1.186052,0.6656,0.00049703
3,1.003995,0.7270,1.084683,0.7044,0.00049604
4,0.839237,0.7574,0.968045,0.7646,0.00049505
5,0.793357,0.7825,0.929678,0.7510,0.00049406
6,0.634073,0.8210,0.770760,0.7904,0.00049307
7,0.545510,0.8475,0.947669,0.7516,0.00049208
8,0.571350,0.8418,0.889940,0.7962,0.00049109
9,0.492691,0.8594,0.798393,0.7956,0.00049010
10,0.383859,0.8921,0.707975,0.8208,0.00048911
11,0.402415,0.8904,0.669705,0.8254,0.00048812
12,0.365460,0.8969,0.709746,0.8195,0.00048713
13,0.374971,0.8928,0.710941,0.8176,0.00048614
14,0.346763,0.9012,0.690344,0.7969,0.00048515
15,0.328929,0.9045,0.796052,0.8001,0.00048416
16,0.295947,0.9172,0.834559,0.7924,0.00048317
17,0.283186,0.9222,0.708080,0.8279,0.00048218
18,0.298031,0.9203,0.728532,0.8254,0.00048119
19,0.276346,0.9239,0.737445,0.8195,0.00048020
20,0.270589,0.9248,0.673221,0.8389,0.00047921
21,0.265846,0.9244,0.727968,0.8325,0.00047822
22,0.255308,0.9286,0.667464,0.8325,0.00047723
23,0.208170,0.9350,0.677265,0.8273,0.00047624
24,0.223741,0.9435,0.708147,0.8221,0.00047525
25,0.255676,0.9323,0.643363,0.8286,0.00047426
26,0.220692,0.9416,0.617861,0.8473,0.00047327
27,0.162069,0.9547,0.632423,0.8435,0.00047228
28,0.159809,0.9554,0.636466,0.8318,0.00047129
29,0.157870,0.9554,0.723123,0.8357,0.00047030
30,0.175974,0.9536,0.708289,0.8383,0.00046931
31,0.172839,0.9512,0.712284,0.8428,0.00046832
32,0.197192,0.9485,0.698474,0.8480,0.00046733
33,0.200147,0.9509,0.625873,0.8428,0.00046634
34,0.164004,0.9557,0.667154,0.8493,0.00046535
35,0.159775,0.9594,0.696677,0.8473,0.00046436
36,0.133621,0.9591,0.721405,0.8286,0.00046337
37,0.126711,0.9692,0.696696,0.8454,0.00046238
38,0.139389,0.9653,0.639382,0.8532,0.00046139
39,0.128692,0.9697,0.706323,0.8364,0.00046040
40,0.145280,0.9657,0.705206,0.8396,0.00045941
41,0.116455,0.9668,0.712059,0.8396,0.00045842
42,0.131338,0.9661,0.703434,0.8396,0.00045743
43,0.136513,0.9651,0.775357,0.8376,0.00045644
44,0.111041,0.9714,0.688777,0.8499,0.00045545
45,0.139556,0.9630,0.690618,0.8448,0.00045446
46,0.164305,0.9620,0.740615,0.8467,0.00045347
47,0.123879,0.9677,0.669499,0.8454,0.00045248
48,0.133252,0.9645,0.610748,0.8622,0.00045149
49,0.119419,0.9704,0.662071,0.8512,0.00045050
50,0.127747,0.9656,0.658047,0.8525,0.00044951
51,0.094125,0.9724,0.633640,0.8571,0.00044852
52,0.129337,0.9688,0.701030,0.8519,0.00044753
53,0.100120,0.9714,0.632626,0.8603,0.00044654
54,0.070192,0.9791,0.652412,0.8609,0.00044555
55,0.079429,0.9770,0.649840,0.8499,0.00044456
56,0.080954,0.9795,0.706984,0.8558,0.00044357
57,0.110618,0.9697,0.671775,0.8512,0.00044258
58,0.078691,0.9782,0.694914,0.8571,0.00044159
59,0.084311,0.9788,0.713914,0.8448,0.00044060
60,0.071589,0.9786,0.644244,0.8590,0.00043961
61,0.073147,0.9812,0.690678,0.8571,0.00043862
62,0.115214,0.9724,0.686624,0.8512,0.00043763
63,0.099805,0.9744,0.647104,0.8499,0.00043664
64,0.062695,0.9839,0.646989,0.8499,0.00043565
65,0.058609,0.9823,0.744347,0.8441,0.00043466
66,0.098079,0.9754,0.651178,0.8603,0.00043367
67,0.064625,0.9815,0.701954,0.8512,0.00043268
68,0.089123,0.9762,0.680005,0.8525,0.00043169
69,0.067137,0.9814,0.708626,0.8486,0.00043070
70,0.099971,0.9798,0.713150,0.8461,0.00042971
71,0.073272,0.9800,0.700658,0.8493,0.00042872
72,0.059684,0.9815,0.774545,0.8564,0.00042773
73,0.066235,0.9826,0.753317,0.8376,0.00042674
74,0.079017,0.9795,0.662209,0.8558,0.00042575
75,0.054141,0.9848,0.678148,0.8571,0.00042476
76,0.044073,0.9865,0.729766,0.8532,0.00042377
77,0.054078,0.9844,0.710452,0.8571,0.00042278
78,0.070449,0.9827,0.703126,0.8525,0.00042179
79,0.058897,0.9827,0.695891,0.8499,0.00042080
80,0.061160,0.9845,0.657717,0.8655,0.00041981
81,0.044227,0.9880,0.713883,0.8609,0.00041882
82,0.044382,0.9885,0.694655,0.8642,0.00041783
83,0.063687,0.9815,0.716880,0.8506,0.00041684
84,0.058404,0.9844,0.705554,0.8558,0.00041585
85,0.067370,0.9821,0.666261,0.8603,0.00041486
86,0.051759,0.9856,0.673008,0.8629,0.00041387
87,0.037974,0.9889,0.732479,0.8525,0.00041288
88,0.040355,0.9888,0.700819,0.8661,0.00041189
89,0.043830,0.9876,0.694505,0.8635,0.00041090
90,0.057280,0.9853,0.711221,0.8480,0.00040991
91,0.045828,0.9864,0.718090,0.8551,0.00040892
92,0.051361,0.9856,0.723640,0.8609,0.00040793
93,0.046929,0.9880,0.793254,0.8538,0.00040694
94,0.080914,0.9792,0.660282,0.8609,0.00040595
95,0.059361,0.9847,0.728066,0.8558,0.00040496
96,0.045162,0.9879,0.687253,0.8700,0.00040397
97,0.048639,0.9867,0.686479,0.8661,0.00040298
98,0.047367,0.9864,0.673904,0.8603,0.00040199
99,0.030140,0.9915,0.692505,0.8642,0.00040100
100,0.034371,0.9911,0.668195,0.8564,0.00040001
101,0.022316,0.9947,0.684707,0.8616,0.00039902
102,0.031990,0.9915,0.694952,0.8577,0.00039803
103,0.066722,0.9845,0.714486,0.8558,0.00039704
104,0.037563,0.9891,0.693779,0.8635,0.00039605
105,0.029605,0.9912,0.671871,0.8616,0.00039506
106,0.051111,0.9862,0.778286,0.8480,0.00039407
107,0.039399,0.9883,0.730592,0.8577,0.00039308
108,0.058902,0.9848,0.711089,0.8545,0.00039209
109,0.041228,0.9882,0.706282,0.8571,0.00039110
110,0.048520,0.9895,0.700595,0.8661,0.00039011
111,0.042966,0.9886,0.656198,0.8680,0.00038912
112,0.022855,0.9933,0.686684,0.8616,0.00038813
113,0.023082,0.9926,0.697516,0.8616,0.00038714
114,0.036467,0.9892,0.707238,0.8622,0.00038615
115,0.051493,0.9888,0.706775,0.8532,0.00038516
116,0.041407,0.9901,0.674837,0.8590,0.00038417
117,0.037152,0.9882,0.709136,0.8609,0.00038318
118,0.036164,0.9898,0.702875,0.8609,0.00038219
119,0.025218,0.9929,0.662865,0.8616,0.00038120
120,0.030278,0.9918,0.688911,0.8596,0.00038021
121,0.032366,0.9909,0.701632,0.8532,0.00037922
122,0.037805,0.9908,0.692124,0.8577,0.00037823
123,0.032338,0.9908,0.706842,0.8532,0.00037724
124,0.026064,0.9924,0.678064,0.8596,0.00037625
125,0.027807,0.9929,0.740977,0.8668,0.00037526
126,0.045461,0.9870,0.700653,0.8545,0.00037427
127,0.040448,0.9870,0.719491,0.8512,0.00037328
128,0.032949,0.9903,0.726041,0.8622,0.00037229
129,0.035048,0.9901,0.738488,0.8558,0.00037130
130,0.029418,0.9915,0.718611,0.8480,0.00037031
131,0.030412,0.9905,0.737232,0.8622,0.00036932
132,0.028217,0.9906,0.681780,0.8648,0.00036833
133,0.023447,0.9938,0.693875,0.8674,0.00036734
134,0.018896,0.9941,0.691256,0.8609,0.00036635
135,0.025355,0.9914,0.671663,0.8571,0.00036536
136,0.022816,0.9924,0.734455,0.8499,0.00036437
137,0.028008,0.9920,0.824217,0.8583,0.00036338
138,0.050281,0.9862,0.696852,0.8525,0.00036239
139,0.037197,0.9900,0.684444,0.8506,0.00036140
140,0.033368,0.9906,0.702709,0.8525,0.00036041
141,0.024174,0.9933,0.671062,0.8629,0.00035942
142,0.025011,0.9929,0.701945,0.8596,0.00035843
143,0.036488,0.9909,0.741536,0.8583,0.00035744
144,0.027849,0.9921,0.687615,0.8506,0.00035645
145,0.031628,0.9906,0.634816,0.8706,0.00035546
146,0.033935,0.9920,0.649980,0.8726,0.00035447
147,0.027425,0.9933,0.657616,0.8713,0.00035348
148,0.034008,0.9908,0.698565,0.8629,0.00035249
149,0.025401,0.9933,0.692089,0.8603,0.00035150
150,0.031240,0.9914,0.677674,0.8629,0.00035051
151,0.029127,0.9924,0.701942,0.8616,0.00034952
152,0.037157,0.9898,0.711500,0.8648,0.00034853
153,0.027289,0.9926,0.719801,0.8616,0.00034754
154,0.025726,0.9915,0.732932,0.8661,0.00034655
155,0.018130,0.9953,0.719618,0.8668,0.00034556
156,0.016761,0.9953,0.707513,0.8609,0.00034457
157,0.024168,0.9930,0.672372,0.8616,0.00034358
158,0.019678,0.9947,0.699096,0.8680,0.00034259
159,0.028135,0.9933,0.694934,0.8706,0.00034160
160,0.026706,0.9924,0.752164,0.8603,0.00034061
161,0.023787,0.9933,0.772449,0.8583,0.00033962
162,0.020127,0.9939,0.785564,0.8551,0.00033863
163,0.021584,0.9936,0.727826,0.8545,0.00033764
164,0.019142,0.9945,0.746073,0.8635,0.00033665
165,0.019323,0.9933,0.748044,0.8577,0.00033566
166,0.018256,0.9948,0.690045,0.8538,0.00033467
167,0.012384,0.9952,0.680182,0.8668,0.00033368
168,0.014530,0.9955,0.707640,0.8693,0.00033269
169,0.021890,0.9936,0.715333,0.8583,0.00033170
170,0.023650,0.9927,0.700193,0.8674,0.00033071
171,0.029368,0.9926,0.761516,0.8551,0.00032972
172,0.048687,0.9898,0.724656,0.8661,0.00032873
173,0.030033,0.9917,0.728137,0.8577,0.00032774
174,0.027192,0.9927,0.692503,0.8655,0.00032675
175,0.021299,0.9930,0.715889,0.8745,0.00032576
176,0.020715,0.9950,0.686611,0.8700,0.00032477
177,0.016482,0.9952,0.772182,0.8583,0.00032378
178,0.021452,0.9941,0.751414,0.8609,0.00032279
179,0.017580,0.9948,0.718303,0.8726,0.00032180
180,0.015943,0.9944,0.711211,0.8674,0.00032081
181,0.017959,0.9948,0.748704,0.8745,0.00031982
182,0.021099,0.9948,0.731651,0.8713,0.00031883
183,0.036685,0.9918,0.723203,0.8777,0.00031784
184,0.019223,0.9944,0.740898,0.8642,0.00031685
185,0.020813,0.9945,0.706442,0.8680,0.00031586
186,0.015953,0.9950,0.709433,0.8713,0.00031487
187,0.014797,0.9961,0.721281,0.8700,0.00031388
188,0.024812,0.9933,0.760035,0.8635,0.00031289
189,0.018586,0.9942,0.702230,0.8642,0.00031190
190,0.017516,0.9945,0.719202,0.8700,0.00031091
191,0.018623,0.9938,0.721027,0.8655,0.00030992
192,0.011048,0.9964,0.696609,0.8719,0.00030893
193,0.013905,0.9970,0.720263,0.8719,0.00030794
194,0.017373,0.9936,0.706703,0.8700,0.00030695
