epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.223092,0.9275,0.115808,0.9600,0.00093397
1,0.102414,0.9662,0.125199,0.9563,0.00086795
2,0.081200,0.9741,0.120471,0.9619,0.00080192
3,0.062223,0.9785,0.109275,0.9639,0.00073590
4,0.049020,0.9838,0.101137,0.9691,0.00066987
5,0.037514,0.9873,0.101506,0.9683,0.00060384
6,0.030447,0.9893,0.118048,0.9669,0.00053782
7,0.024227,0.9919,0.116854,0.9657,0.00047179
8,0.017894,0.9939,0.120989,0.9709,0.00040577
9,0.013546,0.9956,0.108245,0.9739,0.00033974
10,0.008481,0.9974,0.114590,0.9733,0.00027371
11,0.006041,0.9981,0.101999,0.9752,0.00020769
12,0.003667,0.9991,0.106989,0.9752,0.00014166
13,0.001986,0.9995,0.107495,0.9750,0.00007564
14,0.001460,0.9998,0.106813,0.9765,0.00000961
