epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.544776,0.8571,0.417577,0.8889,0.00093399
1,0.327487,0.9092,0.384393,0.8984,0.00086799
2,0.240292,0.9305,0.403342,0.9002,0.00080198
3,0.172067,0.9485,0.412118,0.9037,0.00073597
4,0.125411,0.9612,0.429966,0.9051,0.00066997
5,0.089016,0.9722,0.456051,0.9088,0.00060396
6,0.066134,0.9783,0.486014,0.9100,0.00053795
7,0.045488,0.9853,0.513814,0.9104,0.00047194
8,0.032048,0.9898,0.549521,0.9123,0.00040594
9,0.022954,0.9923,0.568648,0.9150,0.00033993
10,0.015109,0.9952,0.586073,0.9150,0.00027392
11,0.008684,0.9975,0.597937,0.9174,0.00020792
12,0.005582,0.9984,0.614449,0.9188,0.00014191
13,0.002921,0.9992,0.630947,0.9194,0.00007590
14,0.001838,0.9997,0.636468,0.9206,0.00000990
