epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.275795,0.9295,0.018123,0.9942,0.00093398
1,0.019286,0.9950,0.032102,0.9892,0.00086797
2,0.016514,0.9948,0.016257,0.9940,0.00080195
3,0.007743,0.9981,0.034464,0.9905,0.00073594
4,0.007658,0.9982,0.003237,0.9990,0.00066992
5,0.004528,0.9987,0.002110,0.9996,0.00060391
6,0.000261,0.9999,0.000139,1.0000,0.00053789
7,0.000095,1.0000,0.000247,0.9999,0.00047188
8,0.000054,1.0000,0.000134,0.9999,0.00040586
9,0.000031,1.0000,0.000116,0.9999,0.00033985
10,0.000774,0.9998,0.000098,1.0000,0.00027383
11,0.000030,1.0000,0.000089,1.0000,0.00020782
12,0.000100,0.9999,0.000127,1.0000,0.00014180
13,0.000029,1.0000,0.000103,1.0000,0.00007579
14,0.000022,1.0000,0.000102,1.0000,0.00000977
