epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.822370,0.7107,0.690907,0.7465,0.00093393
1,0.588776,0.7853,0.586135,0.7920,0.00086786
2,0.508669,0.8145,0.534124,0.8090,0.00080179
3,0.471813,0.8246,0.562816,0.7955,0.00073572
4,0.406275,0.8482,0.497231,0.8240,0.00066965
5,0.355337,0.8680,0.503901,0.8210,0.00060358
6,0.316051,0.8832,0.504535,0.8165,0.00053751
7,0.282418,0.8957,0.502881,0.8200,0.00047144
8,0.235359,0.9179,0.531558,0.8165,0.00040537
9,0.210155,0.9243,0.525092,0.8260,0.00033930
10,0.178648,0.9380,0.519621,0.8300,0.00027323
11,0.152301,0.9482,0.537499,0.8375,0.00020716
12,0.127856,0.9578,0.525860,0.8350,0.00014109
13,0.108770,0.9662,0.537281,0.8355,0.00007502
14,0.095083,0.9729,0.538475,0.8360,0.00000895
