epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.748073,0.8245,0.615709,0.8504,0.00093400
1,0.576111,0.8564,0.626958,0.8539,0.00086800
2,0.507408,0.8701,0.650309,0.8544,0.00080200
3,0.451859,0.8812,0.681304,0.8553,0.00073600
4,0.403985,0.8914,0.721844,0.8579,0.00067000
5,0.353913,0.9019,0.766910,0.8579,0.00060400
6,0.311969,0.9112,0.817266,0.8603,0.00053800
7,0.269638,0.9209,0.858606,0.8625,0.00047199
8,0.234312,0.9297,0.920494,0.8630,0.00040599
9,0.198877,0.9382,0.957625,0.8647,0.00033999
10,0.167352,0.9460,1.022117,0.8667,0.00027399
11,0.142251,0.9528,1.061991,0.8672,0.00020799
12,0.120065,0.9591,1.094673,0.8688,0.00014199
13,0.100108,0.9648,1.133930,0.8707,0.00007599
14,0.084742,0.9696,1.159819,0.8709,0.00000999
