epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.465147,0.8977,0.260236,0.9395,0.00093366
1,0.252639,0.9360,0.234429,0.9395,0.00086732
2,0.230532,0.9360,0.222932,0.9395,0.00080098
3,0.212487,0.9360,0.210851,0.9395,0.00073464
4,0.191462,0.9366,0.203660,0.9395,0.00066830
5,0.174317,0.9379,0.206060,0.9370,0.00060196
6,0.163736,0.9442,0.191159,0.9345,0.00053562
7,0.145183,0.9467,0.190773,0.9345,0.00046928
8,0.126143,0.9529,0.192846,0.9421,0.00040294
9,0.118555,0.9529,0.176659,0.9395,0.00033660
10,0.097043,0.9680,0.182798,0.9421,0.00027026
11,0.094251,0.9680,0.198181,0.9421,0.00020392
12,0.082948,0.9749,0.178443,0.9421,0.00013758
13,0.079641,0.9730,0.193629,0.9421,0.00007124
14,0.073800,0.9755,0.175317,0.9395,0.00000490
