epoch,train_loss,train_acc,test_loss,test_acc,lr
0,1.269723,0.6670,0.844810,0.7481,0.00093400
1,0.905417,0.7389,0.771199,0.7673,0.00086800
2,0.853754,0.7531,0.744339,0.7750,0.00080200
3,0.821092,0.7622,0.725980,0.7812,0.00073600
4,0.793709,0.7699,0.701828,0.7874,0.00067000
5,0.765553,0.7770,0.685795,0.7927,0.00060400
6,0.736680,0.7836,0.671162,0.7976,0.00053800
7,0.705748,0.7906,0.656116,0.8010,0.00047200
8,0.674101,0.7982,0.638537,0.8061,0.00040600
9,0.643193,0.8052,0.624295,0.8101,0.00034000
10,0.611431,0.8121,0.611566,0.8146,0.00027400
11,0.580863,0.8199,0.598684,0.8169,0.00020800
12,0.552178,0.8276,0.582911,0.8220,0.00014200
13,0.524866,0.8349,0.575888,0.8249,0.00007600
14,0.502654,0.8422,0.569339,0.8273,0.00001000
