epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.527392,0.9205,0.032025,0.9944,0.00093391
1,0.024931,0.9953,0.027541,0.9965,0.00086781
2,0.016097,0.9976,0.026083,0.9972,0.00080172
3,0.010642,0.9981,0.026773,0.9972,0.00073562
4,0.009005,0.9973,0.026417,0.9972,0.00066953
5,0.006940,0.9985,0.027033,0.9972,0.00060344
6,0.003946,0.9990,0.027227,0.9972,0.00053734
7,0.004703,0.9988,0.028095,0.9965,0.00047125
8,0.003271,0.9990,0.028172,0.9972,0.00040516
9,0.002519,0.9992,0.028694,0.9965,0.00033906
10,0.002360,0.9988,0.029923,0.9972,0.00027297
11,0.002708,0.9995,0.028910,0.9965,0.00020688
12,0.001584,0.9995,0.029352,0.9972,0.00014078
13,0.001080,0.9993,0.030718,0.9965,0.00007469
14,0.001119,0.9997,0.030286,0.9965,0.00000859
