epoch,train_loss,train_acc,test_loss,test_acc,lr
0,2.051247,0.4821,1.935036,0.5028,0.00093400
1,1.959141,0.5008,1.932444,0.5065,0.00086800
2,1.918158,0.5081,1.932050,0.5110,0.00080200
3,1.876374,0.5154,1.925353,0.5147,0.00073600
4,1.835436,0.5225,1.929008,0.5170,0.00067000
5,1.793952,0.5289,1.939423,0.5184,0.00060400
6,1.750487,0.5356,1.944140,0.5201,0.00053800
7,1.706398,0.5426,1.946688,0.5212,0.00047200
8,1.659947,0.5508,1.967654,0.5222,0.00040600
9,1.611209,0.5588,1.988497,0.5235,0.00034000
10,1.560845,0.5676,2.008015,0.5252,0.00027400
11,1.508597,0.5771,2.031547,0.5258,0.00020800
12,1.459078,0.5858,2.056965,0.5259,0.00014199
13,1.409518,0.5950,2.079790,0.5266,0.00007599
14,1.366945,0.6036,2.102723,0.5273,0.00000999
