epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.376498,0.8744,0.234526,0.9190,0.00093397
1,0.105732,0.9636,0.216064,0.9229,0.00086793
2,0.062035,0.9783,0.073994,0.9774,0.00080190
3,0.043331,0.9861,0.099155,0.9692,0.00073586
4,0.038978,0.9867,0.057949,0.9813,0.00066983
5,0.020393,0.9922,0.058387,0.9830,0.00060380
6,0.016097,0.9947,0.053257,0.9854,0.00053776
7,0.012017,0.9961,0.046039,0.9871,0.00047173
8,0.005051,0.9982,0.038601,0.9896,0.00040570
9,0.002130,0.9995,0.041379,0.9891,0.00033966
10,0.001690,0.9997,0.039089,0.9903,0.00027363
11,0.000818,0.9999,0.038243,0.9910,0.00020759
12,0.000500,1.0000,0.037398,0.9901,0.00014156
13,0.000505,0.9999,0.037691,0.9908,0.00007553
14,0.000406,0.9999,0.037554,0.9905,0.00000949
