epoch,train_loss,train_acc,test_loss,test_acc,lr
0,5.186158,0.1871,3.218261,0.3602,0.00093400
1,2.516233,0.4440,2.567750,0.4553,0.00086799
2,1.719925,0.5773,2.353253,0.5092,0.00080199
3,1.259749,0.6721,2.334092,0.5361,0.00073598
4,0.958515,0.7406,2.405071,0.5595,0.00066998
5,0.752405,0.7913,2.474491,0.5726,0.00060397
6,0.597543,0.8291,2.589059,0.5790,0.00053797
7,0.477252,0.8612,2.684060,0.5909,0.00047196
8,0.385146,0.8861,2.750913,0.5972,0.00040596
9,0.301815,0.9107,2.797986,0.6036,0.00033995
10,0.240814,0.9286,2.880548,0.6113,0.00027395
11,0.191504,0.9428,2.957054,0.6144,0.00020794
12,0.151654,0.9545,2.980122,0.6195,0.00014194
13,0.118738,0.9654,3.033950,0.6221,0.00007593
14,0.096701,0.9720,3.058801,0.6232,0.00000993
