dataset,num_classes,input_dim,train_samples,test_samples,epochs,hidden_dim,lr,best_test_acc,final_test_acc
cars196,196,1024,6598,1546,15,1024,0.001,0.8661,0.8622
chestx,836,1024,89454,22666,15,1024,0.001,0.5335,0.5332
eurosat,10,1024,21600,5400,15,1024,0.001,0.9765,0.9765
food-101,101,1024,80800,20200,15,1024,0.001,0.9206,0.9206
fruits360,134,1024,37449,9312,15,1024,0.001,1.0000,1.0000
ham10000,7,1024,8015,2000,15,1024,0.001,0.8375,0.8360
ilsvrc2012,773,1024,792797,198157,15,1024,0.001,0.8709,0.8709
kau_bcmd,3,1024,1594,397,15,1024,0.001,0.9421,0.9395
lego_parts,4878,1024,1951200,487800,15,1024,0.001,0.8273,0.8273
oxford_flowers,102,1024,5935,1435,15,1024,0.001,0.9972,0.9965
places365_standard,365,1024,1442778,360682,15,1024,0.001,0.5273,0.5273
plantvillage,15,1024,16516,4122,15,1024,0.001,0.9910,0.9905
products10k,9691,1024,115984,25947,15,1024,0.001,0.6232,0.6232
sd-198,198,1024,5330,1254,15,1024,0.001,0.5630,0.5630
vggface2,540,1024,158369,39324,15,1024,0.001,0.7337,0.7337
wildlifereid10k,4033,1024,101773,24917,15,1024,0.001,0.8608,0.8608
