epoch,train_loss,train_acc,test_loss,test_acc,lr
0,4.237791,0.1129,3.292194,0.2049,0.00093390
1,2.903253,0.2734,2.721890,0.3102,0.00086779
2,2.302355,0.3758,2.448660,0.3501,0.00080169
3,1.871388,0.4749,2.288741,0.4051,0.00073558
4,1.576885,0.5477,2.165021,0.4242,0.00066948
5,1.303442,0.6216,2.056856,0.4633,0.00060337
6,1.100223,0.6732,1.956513,0.4872,0.00053727
7,0.908565,0.7358,1.944793,0.5231,0.00047116
8,0.751540,0.7732,1.914295,0.5231,0.00040506
9,0.617367,0.8189,1.898342,0.5375,0.00033895
10,0.517782,0.8570,1.893125,0.5399,0.00027285
11,0.437141,0.8827,1.894579,0.5542,0.00020674
12,0.382217,0.9043,1.888567,0.5502,0.00014064
13,0.336830,0.9203,1.883873,0.5590,0.00007453
14,0.302788,0.9343,1.877328,0.5630,0.00000843
