epoch,train_loss,train_acc,test_loss,test_acc,lr
0,2.673862,0.3685,1.893338,0.5238,0.00093400
1,1.642043,0.5736,1.569244,0.6026,0.00086799
2,1.237677,0.6670,1.478758,0.6317,0.00080199
3,0.949863,0.7338,1.456554,0.6516,0.00073599
4,0.727803,0.7902,1.437968,0.6699,0.00066998
5,0.556420,0.8351,1.482165,0.6780,0.00060398
6,0.424272,0.8716,1.510201,0.6882,0.00053798
7,0.322385,0.8999,1.538757,0.6984,0.00047197
8,0.245455,0.9227,1.589528,0.7053,0.00040597
9,0.184571,0.9411,1.633366,0.7112,0.00033996
10,0.138159,0.9556,1.658039,0.7172,0.00027396
11,0.101274,0.9680,1.675023,0.7208,0.00020796
12,0.074532,0.9767,1.693723,0.7264,0.00014195
13,0.054472,0.9835,1.692396,0.7309,0.00007595
14,0.040281,0.9885,1.691372,0.7337,0.00000995
