epoch,train_loss,train_acc,test_loss,test_acc,lr
0,2.271048,0.5785,1.532471,0.6764,0.00093399
1,1.277081,0.7089,1.197558,0.7365,0.00086799
2,0.975565,0.7654,1.030409,0.7724,0.00080198
3,0.805328,0.8013,0.958287,0.7891,0.00073598
4,0.686054,0.8271,0.933438,0.8007,0.00066997
5,0.596294,0.8486,0.889483,0.8133,0.00060397
6,0.514346,0.8659,0.874791,0.8209,0.00053796
7,0.449476,0.8804,0.869031,0.8312,0.00047196
8,0.394246,0.8936,0.854546,0.8372,0.00040595
9,0.343581,0.9065,0.846218,0.8448,0.00033994
10,0.301875,0.9170,0.855855,0.8490,0.00027394
11,0.268957,0.9256,0.859684,0.8515,0.00020793
12,0.239937,0.9338,0.863595,0.8552,0.00014193
13,0.216743,0.9405,0.860176,0.8585,0.00007592
14,0.199825,0.9452,0.864128,0.8608,0.00000992
