epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.842102,0.8156,0.528612,0.8653,0.00029941
1,0.494048,0.8706,0.486868,0.8734,0.00029881
2,0.410132,0.8872,0.460794,0.8785,0.00029822
3,0.354373,0.8990,0.568375,0.8794,0.00029762
4,0.305880,0.9098,0.450816,0.8813,0.00029703
5,0.268155,0.9188,0.455189,0.8798,0.00029644
6,0.234804,0.9267,0.453290,0.8832,0.00029584
7,0.210327,0.9330,0.459352,0.8818,0.00029525
8,0.189726,0.9390,0.460633,0.8832,0.00029465
9,0.171644,0.9438,0.467515,0.8826,0.00029406
10,0.157615,0.9486,0.473928,0.8821,0.00029347
11,0.149022,0.9519,0.475976,0.8824,0.00029287
12,0.133395,0.9554,0.481050,0.8827,0.00029228
13,0.124897,0.9579,0.492646,0.8820,0.00029168
14,0.119583,0.9599,0.495129,0.8825,0.00029109
15,0.112202,0.9620,0.493868,0.8829,0.00029050
16,0.107576,0.9640,0.498048,0.8813,0.00028990
17,0.100285,0.9657,0.501665,0.8833,0.00028931
18,0.095755,0.9673,0.510906,0.8824,0.00028871
19,0.090585,0.9691,0.527593,0.8818,0.00028812
20,0.087972,0.9700,0.524168,0.8812,0.00028753
21,0.084353,0.9712,0.526770,0.8815,0.00028693
22,0.080278,0.9724,0.541307,0.8823,0.00028634
23,0.077918,0.9732,0.534464,0.8824,0.00028574
24,0.076861,0.9742,0.533517,0.8814,0.00028515
25,0.071501,0.9753,0.555847,0.8815,0.00028456
26,0.070912,0.9760,0.547592,0.8824,0.00028396
