epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.665662,0.8382,0.511522,0.8657,0.00099670
1,0.447813,0.8764,0.469781,0.8760,0.00099340
2,0.374810,0.8912,0.467985,0.8748,0.00099010
3,0.319980,0.9032,0.459992,0.8792,0.00098680
4,0.275538,0.9136,0.466042,0.8802,0.00098350
5,0.240121,0.9229,0.473987,0.8814,0.00098020
6,0.211226,0.9305,0.482926,0.8814,0.00097690
7,0.188249,0.9370,0.496485,0.8820,0.00097360
8,0.170064,0.9420,0.509220,0.8818,0.00097030
9,0.155983,0.9466,0.518918,0.8817,0.00096700
10,0.142956,0.9506,0.531828,0.8828,0.00096370
11,0.133021,0.9539,0.543555,0.8827,0.00096040
12,0.124316,0.9566,0.548528,0.8824,0.00095710
13,0.118217,0.9586,0.559447,0.8820,0.00095380
14,0.110341,0.9613,0.574692,0.8818,0.00095050
15,0.104840,0.9631,0.582159,0.8827,0.00094720
16,0.099061,0.9650,0.594825,0.8808,0.00094390
17,0.095356,0.9662,0.603174,0.8824,0.00094060
18,0.091048,0.9678,0.607647,0.8822,0.00093730
19,0.088121,0.9688,0.612503,0.8823,0.00093400
20,0.084110,0.9701,0.625585,0.8829,0.00093070
21,0.080976,0.9714,0.630791,0.8828,0.00092740
22,0.078291,0.9722,0.636562,0.8822,0.00092410
23,0.076378,0.9729,0.645585,0.8817,0.00092080
24,0.072867,0.9742,0.653597,0.8818,0.00091750
25,0.071231,0.9747,0.656553,0.8816,0.00091420
26,0.068684,0.9758,0.666917,0.8828,0.00091090
27,0.067423,0.9761,0.669249,0.8827,0.00090760
28,0.065690,0.9767,0.680441,0.8818,0.00090430
29,0.063493,0.9774,0.681807,0.8832,0.00090100
30,0.061352,0.9782,0.688857,0.8823,0.00089770
31,0.060775,0.9784,0.698931,0.8821,0.00089440
32,0.058790,0.9792,0.696751,0.8816,0.00089110
33,0.057939,0.9795,0.701448,0.8823,0.00088780
34,0.055448,0.9804,0.709338,0.8821,0.00088450
35,0.054481,0.9807,0.712815,0.8821,0.00088120
36,0.054580,0.9809,0.721490,0.8826,0.00087790
37,0.052741,0.9814,0.719764,0.8820,0.00087460
38,0.052154,0.9815,0.728273,0.8822,0.00087130
39,0.050970,0.9818,0.739668,0.8817,0.00086800
40,0.049471,0.9823,0.738024,0.8820,0.00086470
41,0.048539,0.9828,0.743679,0.8828,0.00086140
42,0.048019,0.9829,0.740039,0.8826,0.00085810
43,0.046679,0.9835,0.748391,0.8830,0.00085480
44,0.045980,0.9836,0.753790,0.8828,0.00085150
45,0.044768,0.9841,0.764284,0.8822,0.00084820
46,0.044876,0.9841,0.761140,0.8825,0.00084490
47,0.043985,0.9846,0.761925,0.8826,0.00084160
48,0.042817,0.9848,0.768346,0.8828,0.00083830
49,0.041875,0.9853,0.776824,0.8827,0.00083500
50,0.041758,0.9852,0.771925,0.8829,0.00083170
51,0.041307,0.9853,0.778046,0.8835,0.00082840
52,0.040821,0.9855,0.780998,0.8832,0.00082510
53,0.040031,0.9857,0.793065,0.8831,0.00082180
54,0.039184,0.9861,0.787904,0.8837,0.00081850
55,0.038891,0.9861,0.799328,0.8839,0.00081520
56,0.038394,0.9864,0.792287,0.8826,0.00081190
57,0.037639,0.9866,0.804418,0.8828,0.00080860
58,0.037051,0.9868,0.796256,0.8827,0.00080530
59,0.036739,0.9868,0.811179,0.8833,0.00080200
60,0.036111,0.9872,0.816966,0.8836,0.00079870
61,0.035749,0.9872,0.812736,0.8828,0.00079540
62,0.035361,0.9873,0.814899,0.8829,0.00079210
63,0.034840,0.9875,0.820533,0.8830,0.00078880
64,0.034470,0.9877,0.814984,0.8826,0.00078550
65,0.033828,0.9880,0.826014,0.8829,0.00078220
66,0.032790,0.9882,0.826858,0.8832,0.00077890
67,0.033251,0.9882,0.837606,0.8834,0.00077560
68,0.033045,0.9880,0.828795,0.8835,0.00077230
69,0.032007,0.9886,0.834638,0.8834,0.00076900
70,0.031863,0.9886,0.834356,0.8838,0.00076570
71,0.031442,0.9888,0.836883,0.8838,0.00076240
72,0.031653,0.9886,0.847454,0.8834,0.00075910
73,0.030843,0.9888,0.852193,0.8838,0.00075580
74,0.029721,0.9892,0.852528,0.8835,0.00075250
75,0.030005,0.9892,0.849344,0.8835,0.00074920
76,0.029505,0.9893,0.854087,0.8835,0.00074590
77,0.029484,0.9893,0.866500,0.8830,0.00074260
78,0.029109,0.9894,0.867203,0.8835,0.00073930
79,0.029054,0.9894,0.870261,0.8838,0.00073600
80,0.028788,0.9896,0.871104,0.8837,0.00073270
81,0.027995,0.9899,0.866610,0.8829,0.00072940
82,0.028151,0.9898,0.872824,0.8836,0.00072610
83,0.027515,0.9900,0.880538,0.8837,0.00072280
84,0.027099,0.9900,0.882251,0.8827,0.00071950
85,0.027188,0.9901,0.886259,0.8833,0.00071620
