epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.626072,0.8486,0.493044,0.8697,0.00049835
1,0.389440,0.8898,0.475303,0.8737,0.00049670
2,0.303852,0.9084,0.481201,0.8764,0.00049505
3,0.243545,0.9233,0.485516,0.8784,0.00049340
4,0.198543,0.9351,0.503346,0.8785,0.00049175
5,0.167690,0.9440,0.521810,0.8778,0.00049010
6,0.145365,0.9509,0.537627,0.8802,0.00048845
7,0.126780,0.9570,0.558347,0.8782,0.00048680
8,0.114080,0.9611,0.573096,0.8789,0.00048515
9,0.103497,0.9647,0.590837,0.8796,0.00048350
10,0.093524,0.9680,0.600506,0.8809,0.00048185
11,0.086170,0.9707,0.617399,0.8799,0.00048020
12,0.080212,0.9727,0.635047,0.8794,0.00047855
13,0.075526,0.9745,0.640511,0.8808,0.00047690
14,0.069584,0.9766,0.649102,0.8810,0.00047525
15,0.065167,0.9783,0.655279,0.8811,0.00047360
16,0.061565,0.9794,0.663317,0.8824,0.00047195
17,0.057517,0.9806,0.670161,0.8820,0.00047030
18,0.055411,0.9815,0.689094,0.8812,0.00046865
19,0.053493,0.9825,0.693216,0.8814,0.00046700
20,0.049478,0.9837,0.702107,0.8822,0.00046535
21,0.048536,0.9840,0.710180,0.8821,0.00046370
22,0.045335,0.9850,0.718653,0.8822,0.00046205
23,0.044010,0.9855,0.725548,0.8820,0.00046040
24,0.043157,0.9858,0.731801,0.8822,0.00045875
25,0.040314,0.9867,0.743142,0.8814,0.00045710
26,0.039134,0.9871,0.749009,0.8823,0.00045545
27,0.037996,0.9874,0.749337,0.8821,0.00045380
28,0.036211,0.9880,0.761772,0.8835,0.00045215
29,0.035083,0.9884,0.765145,0.8826,0.00045050
30,0.034626,0.9886,0.773034,0.8824,0.00044885
31,0.033507,0.9887,0.772905,0.8829,0.00044720
32,0.032165,0.9891,0.780636,0.8833,0.00044555
33,0.030939,0.9897,0.792895,0.8824,0.00044390
34,0.030085,0.9898,0.783032,0.8828,0.00044225
35,0.029664,0.9900,0.803341,0.8831,0.00044060
36,0.028429,0.9903,0.806950,0.8834,0.00043895
37,0.028138,0.9904,0.817609,0.8828,0.00043730
38,0.027521,0.9906,0.812208,0.8838,0.00043565
39,0.026317,0.9909,0.820649,0.8835,0.00043400
40,0.025875,0.9909,0.832592,0.8833,0.00043235
41,0.025482,0.9913,0.835489,0.8836,0.00043070
42,0.024586,0.9914,0.830049,0.8836,0.00042905
43,0.023904,0.9916,0.848111,0.8831,0.00042740
44,0.024223,0.9915,0.850810,0.8836,0.00042575
45,0.023616,0.9917,0.857262,0.8831,0.00042410
46,0.023272,0.9918,0.850389,0.8833,0.00042245
47,0.022541,0.9920,0.864099,0.8835,0.00042080
48,0.022619,0.9919,0.871113,0.8833,0.00041915
49,0.021529,0.9922,0.868255,0.8843,0.00041750
50,0.021631,0.9921,0.892305,0.8831,0.00041585
51,0.020917,0.9923,0.875036,0.8841,0.00041420
52,0.020181,0.9926,0.883826,0.8842,0.00041255
53,0.019933,0.9927,0.893545,0.8841,0.00041090
54,0.020427,0.9925,0.893265,0.8844,0.00040925
55,0.019116,0.9929,0.895917,0.8836,0.00040760
56,0.018977,0.9929,0.904265,0.8841,0.00040595
57,0.018812,0.9929,0.904833,0.8842,0.00040430
58,0.018341,0.9930,0.907489,0.8847,0.00040265
59,0.018388,0.9930,0.910955,0.8846,0.00040100
60,0.018369,0.9930,0.908741,0.8843,0.00039935
61,0.017977,0.9932,0.921102,0.8838,0.00039770
62,0.017242,0.9934,0.932782,0.8849,0.00039605
63,0.016774,0.9935,0.935037,0.8844,0.00039440
64,0.017349,0.9933,0.935821,0.8846,0.00039275
65,0.016812,0.9934,0.934703,0.8847,0.00039110
66,0.016485,0.9934,0.943661,0.8843,0.00038945
67,0.016559,0.9935,0.947091,0.8840,0.00038780
68,0.016017,0.9936,0.945572,0.8845,0.00038615
69,0.015938,0.9936,0.949854,0.8847,0.00038450
70,0.016203,0.9936,0.964065,0.8843,0.00038285
71,0.015641,0.9937,0.967599,0.8848,0.00038120
72,0.015485,0.9937,0.963432,0.8848,0.00037955
73,0.015211,0.9938,0.958558,0.8856,0.00037790
74,0.015400,0.9937,0.960837,0.8842,0.00037625
75,0.014757,0.9939,0.977454,0.8851,0.00037460
76,0.014778,0.9939,0.967960,0.8849,0.00037295
77,0.014449,0.9939,0.980954,0.8847,0.00037130
78,0.014595,0.9940,0.974807,0.8846,0.00036965
79,0.014421,0.9940,0.983443,0.8842,0.00036800
80,0.014242,0.9940,0.998849,0.8843,0.00036635
81,0.013851,0.9940,0.986883,0.8852,0.00036470
82,0.013566,0.9943,0.982878,0.8844,0.00036305
83,0.013595,0.9942,0.989357,0.8848,0.00036140
84,0.013562,0.9941,0.992347,0.8851,0.00035975
85,0.013102,0.9942,1.011747,0.8852,0.00035810
86,0.013220,0.9943,1.011609,0.8846,0.00035645
87,0.013250,0.9942,1.008524,0.8852,0.00035480
88,0.013210,0.9943,1.005684,0.8846,0.00035315
89,0.013092,0.9943,1.018916,0.8850,0.00035150
90,0.012480,0.9944,1.024559,0.8847,0.00034985
91,0.012803,0.9943,1.018036,0.8848,0.00034820
92,0.012283,0.9945,1.026974,0.8853,0.00034655
93,0.012389,0.9944,1.033591,0.8853,0.00034490
94,0.012442,0.9943,1.038414,0.8853,0.00034325
95,0.012255,0.9944,1.040349,0.8850,0.00034160
96,0.011910,0.9946,1.035810,0.8846,0.00033995
97,0.011856,0.9946,1.037011,0.8848,0.00033830
98,0.011785,0.9945,1.053418,0.8854,0.00033665
99,0.011646,0.9947,1.044712,0.8854,0.00033500
100,0.011671,0.9946,1.058771,0.8851,0.00033335
101,0.011466,0.9946,1.047314,0.8850,0.00033170
102,0.011354,0.9947,1.055194,0.8848,0.00033005
103,0.011364,0.9946,1.064344,0.8852,0.00032840
104,0.011447,0.9946,1.059205,0.8850,0.00032675
105,0.011070,0.9947,1.062887,0.8855,0.00032510
106,0.010840,0.9948,1.081369,0.8856,0.00032345
107,0.011034,0.9947,1.074905,0.8853,0.00032180
108,0.010842,0.9948,1.083502,0.8857,0.00032015
109,0.010671,0.9948,1.090977,0.8851,0.00031850
110,0.010914,0.9947,1.075044,0.8856,0.00031685
111,0.010663,0.9947,1.085748,0.8854,0.00031520
112,0.010587,0.9947,1.072699,0.8854,0.00031355
113,0.010421,0.9949,1.094639,0.8860,0.00031190
114,0.010150,0.9948,1.093940,0.8853,0.00031025
115,0.010227,0.9949,1.097194,0.8853,0.00030860
116,0.010069,0.9949,1.101073,0.8852,0.00030695
117,0.010156,0.9948,1.096184,0.8855,0.00030530
118,0.010056,0.9949,1.100154,0.8856,0.00030365
119,0.009965,0.9949,1.107528,0.8856,0.00030200
120,0.009856,0.9949,1.106661,0.8853,0.00030035
121,0.009966,0.9949,1.103508,0.8853,0.00029870
122,0.009614,0.9951,1.115925,0.8853,0.00029705
123,0.009489,0.9951,1.100874,0.8854,0.00029540
124,0.009464,0.9950,1.120685,0.8861,0.00029375
125,0.009780,0.9950,1.119557,0.8856,0.00029210
126,0.009358,0.9950,1.122728,0.8852,0.00029045
127,0.009535,0.9950,1.128609,0.8853,0.00028880
128,0.009351,0.9951,1.113752,0.8858,0.00028715
129,0.009447,0.9951,1.138979,0.8856,0.00028550
130,0.009615,0.9950,1.126264,0.8858,0.00028385
131,0.009179,0.9951,1.129426,0.8856,0.00028220
132,0.009135,0.9952,1.129892,0.8854,0.00028055
133,0.008934,0.9952,1.143976,0.8857,0.00027890
134,0.009089,0.9951,1.149621,0.8857,0.00027725
135,0.008899,0.9951,1.155128,0.8862,0.00027560
136,0.008757,0.9952,1.144213,0.8859,0.00027395
137,0.008949,0.9952,1.152960,0.8857,0.00027230
138,0.008779,0.9952,1.158130,0.8859,0.00027065
139,0.008608,0.9952,1.144776,0.8856,0.00026900
140,0.008715,0.9952,1.158035,0.8855,0.00026735
141,0.008648,0.9952,1.165789,0.8856,0.00026570
142,0.008467,0.9952,1.180717,0.8859,0.00026405
143,0.008491,0.9953,1.164671,0.8858,0.00026240
144,0.008304,0.9953,1.172019,0.8861,0.00026075
145,0.008528,0.9952,1.172364,0.8862,0.00025910
146,0.008247,0.9953,1.175673,0.8865,0.00025745
147,0.008229,0.9953,1.181505,0.8859,0.00025580
148,0.008172,0.9953,1.183956,0.8861,0.00025415
149,0.008138,0.9953,1.179135,0.8857,0.00025250
150,0.008082,0.9953,1.189974,0.8858,0.00025085
151,0.008094,0.9954,1.185004,0.8860,0.00024920
152,0.008144,0.9954,1.180301,0.8858,0.00024755
153,0.007869,0.9953,1.186332,0.8860,0.00024590
154,0.008008,0.9953,1.189150,0.8860,0.00024425
155,0.007792,0.9953,1.204735,0.8867,0.00024260
156,0.007821,0.9954,1.200213,0.8859,0.00024095
157,0.007757,0.9954,1.197026,0.8864,0.00023930
158,0.007831,0.9954,1.208046,0.8863,0.00023765
159,0.007698,0.9954,1.201912,0.8860,0.00023600
160,0.007603,0.9955,1.219652,0.8867,0.00023435
161,0.007712,0.9954,1.218519,0.8864,0.00023270
162,0.007670,0.9954,1.203361,0.8867,0.00023105
163,0.007476,0.9955,1.214048,0.8869,0.00022940
164,0.007403,0.9955,1.211891,0.8863,0.00022775
165,0.007454,0.9955,1.220200,0.8864,0.00022610
166,0.007447,0.9955,1.218303,0.8869,0.00022445
167,0.007485,0.9955,1.238154,0.8864,0.00022280
168,0.007287,0.9955,1.233194,0.8866,0.00022115
169,0.007223,0.9955,1.234602,0.8869,0.00021950
170,0.007304,0.9956,1.252672,0.8866,0.00021785
171,0.007181,0.9955,1.249539,0.8870,0.00021620
172,0.007199,0.9955,1.244428,0.8868,0.00021455
173,0.007139,0.9955,1.251520,0.8867,0.00021290
174,0.007113,0.9955,1.251749,0.8868,0.00021125
175,0.007128,0.9955,1.258058,0.8868,0.00020960
176,0.007110,0.9956,1.265668,0.8871,0.00020795
177,0.007098,0.9956,1.258404,0.8867,0.00020630
178,0.006955,0.9955,1.257057,0.8866,0.00020465
179,0.006961,0.9956,1.264897,0.8870,0.00020300
180,0.006720,0.9957,1.268177,0.8870,0.00020135
181,0.006863,0.9956,1.264713,0.8869,0.00019970
182,0.006799,0.9955,1.265875,0.8870,0.00019805
183,0.006818,0.9956,1.263904,0.8871,0.00019640
184,0.006730,0.9957,1.285637,0.8867,0.00019475
185,0.006718,0.9957,1.286694,0.8866,0.00019310
186,0.006767,0.9957,1.297466,0.8868,0.00019145
187,0.006754,0.9956,1.285178,0.8869,0.00018980
188,0.006561,0.9957,1.281277,0.8869,0.00018815
189,0.006613,0.9957,1.290120,0.8868,0.00018650
190,0.006572,0.9957,1.305705,0.8869,0.00018485
191,0.006575,0.9956,1.295904,0.8868,0.00018320
192,0.006564,0.9956,1.286293,0.8869,0.00018155
193,0.006674,0.9956,1.290555,0.8865,0.00017990
194,0.006421,0.9957,1.298465,0.8869,0.00017825
195,0.006455,0.9957,1.300791,0.8869,0.00017660
196,0.006449,0.9957,1.318281,0.8870,0.00017495
197,0.006448,0.9957,1.306905,0.8869,0.00017330
198,0.006288,0.9957,1.319789,0.8866,0.00017165
199,0.006362,0.9957,1.308485,0.8869,0.00017000
200,0.006263,0.9958,1.313007,0.8866,0.00016835
201,0.006235,0.9957,1.305691,0.8870,0.00016670
202,0.006258,0.9958,1.311522,0.8872,0.00016505
203,0.006264,0.9957,1.325788,0.8870,0.00016340
204,0.006322,0.9958,1.330804,0.8871,0.00016175
205,0.006254,0.9958,1.329156,0.8871,0.00016010
206,0.006098,0.9958,1.327644,0.8873,0.00015845
207,0.006091,0.9958,1.321817,0.8871,0.00015680
208,0.006091,0.9958,1.318994,0.8870,0.00015515
209,0.006013,0.9958,1.325124,0.8872,0.00015350
210,0.006069,0.9958,1.333302,0.8870,0.00015185
211,0.006103,0.9958,1.345120,0.8868,0.00015020
212,0.006027,0.9958,1.346388,0.8868,0.00014855
213,0.005958,0.9959,1.338207,0.8871,0.00014690
214,0.005871,0.9959,1.339842,0.8870,0.00014525
215,0.005956,0.9958,1.345212,0.8870,0.00014360
216,0.005900,0.9959,1.350964,0.8868,0.00014195
217,0.005865,0.9959,1.342941,0.8871,0.00014030
218,0.005806,0.9959,1.342735,0.8871,0.00013865
219,0.005844,0.9958,1.376048,0.8873,0.00013700
220,0.005805,0.9959,1.363122,0.8874,0.00013535
221,0.005738,0.9959,1.348858,0.8871,0.00013370
222,0.005743,0.9959,1.359452,0.8871,0.00013205
223,0.005824,0.9958,1.365639,0.8868,0.00013040
224,0.005725,0.9959,1.367053,0.8871,0.00012875
225,0.005693,0.9960,1.362842,0.8874,0.00012710
226,0.005690,0.9959,1.370515,0.8870,0.00012545
227,0.005694,0.9960,1.387541,0.8872,0.00012380
228,0.005696,0.9959,1.393976,0.8873,0.00012215
229,0.005597,0.9960,1.390454,0.8875,0.00012050
230,0.005656,0.9959,1.380569,0.8874,0.00011885
231,0.005564,0.9960,1.393827,0.8872,0.00011720
232,0.005561,0.9960,1.397544,0.8873,0.00011555
233,0.005499,0.9959,1.394544,0.8872,0.00011390
234,0.005518,0.9960,1.394306,0.8870,0.00011225
235,0.005485,0.9961,1.383219,0.8873,0.00011060
236,0.005505,0.9960,1.382535,0.8873,0.00010895
237,0.005363,0.9960,1.390750,0.8874,0.00010730
238,0.005496,0.9960,1.397679,0.8877,0.00010565
239,0.005379,0.9960,1.398577,0.8873,0.00010400
240,0.005420,0.9960,1.416096,0.8878,0.00010235
241,0.005439,0.9960,1.403857,0.8876,0.00010070
242,0.005340,0.9960,1.410184,0.8879,0.00009905
243,0.005326,0.9961,1.413675,0.8877,0.00009740
244,0.005322,0.9961,1.426698,0.8873,0.00009575
245,0.005362,0.9961,1.411236,0.8874,0.00009410
246,0.005367,0.9960,1.418949,0.8876,0.00009245
247,0.005284,0.9961,1.428222,0.8876,0.00009080
248,0.005272,0.9961,1.412975,0.8876,0.00008915
249,0.005248,0.9961,1.423501,0.8874,0.00008750
250,0.005305,0.9961,1.414222,0.8877,0.00008585
251,0.005228,0.9961,1.415801,0.8875,0.00008420
252,0.005152,0.9961,1.433468,0.8877,0.00008255
253,0.005178,0.9961,1.427342,0.8879,0.00008090
254,0.005189,0.9961,1.434590,0.8879,0.00007925
255,0.005161,0.9962,1.417395,0.8878,0.00007760
256,0.005130,0.9962,1.441346,0.8878,0.00007595
257,0.005070,0.9962,1.424666,0.8877,0.00007430
258,0.005138,0.9962,1.421800,0.8878,0.00007265
259,0.005065,0.9962,1.438177,0.8879,0.00007100
260,0.005040,0.9963,1.437918,0.8879,0.00006935
261,0.005082,0.9962,1.437556,0.8880,0.00006770
262,0.005021,0.9963,1.441341,0.8881,0.00006605
263,0.004987,0.9963,1.442997,0.8880,0.00006440
264,0.005051,0.9961,1.445384,0.8880,0.00006275
265,0.005019,0.9962,1.450793,0.8880,0.00006110
266,0.005011,0.9962,1.452257,0.8881,0.00005945
267,0.004972,0.9963,1.457313,0.8881,0.00005780
268,0.004933,0.9963,1.451829,0.8881,0.00005615
269,0.004935,0.9963,1.455644,0.8882,0.00005450
270,0.004947,0.9964,1.452239,0.8882,0.00005285
271,0.004891,0.9964,1.447064,0.8880,0.00005120
272,0.004915,0.9963,1.462628,0.8882,0.00004955
273,0.004912,0.9963,1.454319,0.8882,0.00004790
