epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.568990,0.8747,0.435804,0.8927,0.00099802
1,0.305691,0.9155,0.428633,0.8958,0.00099604
2,0.224149,0.9335,0.421475,0.9001,0.00099406
3,0.169903,0.9470,0.446981,0.8995,0.00099208
4,0.138811,0.9564,0.456361,0.9000,0.00099010
5,0.113295,0.9640,0.468601,0.9011,0.00098812
6,0.096220,0.9692,0.480061,0.9020,0.00098614
7,0.084822,0.9728,0.488730,0.9032,0.00098416
8,0.075304,0.9759,0.502333,0.9026,0.00098218
9,0.067696,0.9783,0.515509,0.9029,0.00098020
10,0.064373,0.9796,0.520023,0.9029,0.00097822
11,0.059271,0.9809,0.538091,0.9023,0.00097624
12,0.056581,0.9819,0.539198,0.9035,0.00097426
13,0.053325,0.9829,0.550804,0.9038,0.00097228
14,0.050686,0.9839,0.557328,0.9031,0.00097030
15,0.047377,0.9848,0.565708,0.9031,0.00096832
16,0.045902,0.9852,0.581998,0.9035,0.00096634
17,0.043922,0.9859,0.589622,0.9031,0.00096436
18,0.043692,0.9859,0.588857,0.9033,0.00096238
19,0.042665,0.9862,0.607549,0.9034,0.00096040
20,0.039781,0.9872,0.610541,0.9038,0.00095842
21,0.038082,0.9877,0.609464,0.9034,0.00095644
22,0.035476,0.9885,0.617862,0.9050,0.00095446
23,0.033634,0.9888,0.613948,0.9042,0.00095248
24,0.031904,0.9894,0.615029,0.9046,0.00095050
25,0.031549,0.9896,0.642195,0.9034,0.00094852
26,0.032919,0.9892,0.644433,0.9041,0.00094654
27,0.032420,0.9893,0.646879,0.9030,0.00094456
28,0.031418,0.9895,0.643875,0.9039,0.00094258
29,0.030590,0.9898,0.654187,0.9048,0.00094060
30,0.028470,0.9904,0.656814,0.9048,0.00093862
31,0.026397,0.9909,0.663818,0.9044,0.00093664
32,0.025552,0.9911,0.667651,0.9044,0.00093466
33,0.024616,0.9914,0.663975,0.9048,0.00093268
34,0.022904,0.9919,0.672927,0.9058,0.00093070
35,0.022267,0.9919,0.674602,0.9056,0.00092872
36,0.021622,0.9921,0.679160,0.9059,0.00092674
37,0.022175,0.9918,0.684421,0.9046,0.00092476
38,0.022277,0.9918,0.696645,0.9050,0.00092278
39,0.022694,0.9917,0.691946,0.9046,0.00092080
40,0.022501,0.9920,0.694961,0.9053,0.00091882
41,0.024604,0.9914,0.712729,0.9040,0.00091684
42,0.026586,0.9911,0.696366,0.9038,0.00091486
43,0.026414,0.9911,0.706315,0.9035,0.00091288
44,0.024523,0.9916,0.709858,0.9036,0.00091090
45,0.021849,0.9922,0.707209,0.9049,0.00090892
46,0.018025,0.9930,0.711478,0.9061,0.00090694
47,0.016577,0.9934,0.710704,0.9063,0.00090496
48,0.016039,0.9935,0.714326,0.9061,0.00090298
49,0.014437,0.9939,0.726804,0.9068,0.00090100
50,0.015060,0.9937,0.732560,0.9063,0.00089902
51,0.015430,0.9936,0.732808,0.9065,0.00089704
52,0.016439,0.9933,0.731870,0.9063,0.00089506
53,0.016476,0.9932,0.737467,0.9062,0.00089308
54,0.016925,0.9931,0.736404,0.9055,0.00089110
55,0.018842,0.9926,0.731366,0.9047,0.00088912
56,0.019804,0.9925,0.745215,0.9043,0.00088714
57,0.020285,0.9925,0.737911,0.9039,0.00088516
58,0.019759,0.9925,0.742829,0.9049,0.00088318
59,0.018329,0.9929,0.733632,0.9050,0.00088120
60,0.015800,0.9935,0.744485,0.9054,0.00087922
61,0.013461,0.9941,0.756009,0.9059,0.00087724
62,0.012861,0.9942,0.759632,0.9061,0.00087526
63,0.012541,0.9942,0.763243,0.9067,0.00087328
64,0.012550,0.9942,0.765941,0.9064,0.00087130
65,0.013074,0.9941,0.772073,0.9067,0.00086932
66,0.013199,0.9940,0.764125,0.9063,0.00086734
67,0.012803,0.9941,0.777836,0.9062,0.00086536
68,0.012628,0.9941,0.777064,0.9062,0.00086338
69,0.013599,0.9939,0.783380,0.9057,0.00086140
70,0.015004,0.9936,0.779272,0.9053,0.00085942
71,0.014585,0.9937,0.781228,0.9058,0.00085744
72,0.015488,0.9935,0.773616,0.9045,0.00085546
73,0.016376,0.9932,0.782576,0.9044,0.00085348
74,0.015476,0.9936,0.784112,0.9054,0.00085150
75,0.013527,0.9940,0.782957,0.9058,0.00084952
76,0.012948,0.9942,0.785191,0.9058,0.00084754
77,0.011929,0.9943,0.791502,0.9055,0.00084556
78,0.011923,0.9944,0.795000,0.9058,0.00084358
79,0.012048,0.9943,0.791242,0.9060,0.00084160
80,0.011729,0.9945,0.810223,0.9067,0.00083962
81,0.011752,0.9944,0.802720,0.9064,0.00083764
82,0.012260,0.9943,0.808592,0.9062,0.00083566
83,0.011971,0.9943,0.805261,0.9063,0.00083368
84,0.011633,0.9945,0.809675,0.9060,0.00083170
85,0.010601,0.9945,0.814711,0.9064,0.00082972
86,0.010513,0.9947,0.819928,0.9066,0.00082774
87,0.011298,0.9945,0.817164,0.9066,0.00082576
88,0.010929,0.9946,0.829983,0.9064,0.00082378
89,0.012256,0.9943,0.820849,0.9064,0.00082180
90,0.011700,0.9943,0.821954,0.9062,0.00081982
91,0.012415,0.9943,0.818135,0.9057,0.00081784
92,0.012990,0.9940,0.819637,0.9052,0.00081586
93,0.012198,0.9943,0.819389,0.9061,0.00081388
94,0.010870,0.9945,0.819690,0.9062,0.00081190
95,0.011359,0.9945,0.833519,0.9059,0.00080992
96,0.010464,0.9946,0.836286,0.9061,0.00080794
97,0.009946,0.9947,0.844161,0.9062,0.00080596
98,0.009327,0.9949,0.853194,0.9064,0.00080398
99,0.009114,0.9950,0.849899,0.9069,0.00080200
100,0.009278,0.9949,0.848648,0.9070,0.00080002
101,0.009295,0.9949,0.863684,0.9069,0.00079804
102,0.010419,0.9946,0.857088,0.9067,0.00079606
103,0.010410,0.9946,0.854445,0.9065,0.00079408
104,0.010742,0.9946,0.862062,0.9062,0.00079210
105,0.010989,0.9946,0.852813,0.9059,0.00079012
106,0.011387,0.9944,0.838793,0.9061,0.00078814
107,0.011298,0.9945,0.847987,0.9057,0.00078616
108,0.010476,0.9945,0.842832,0.9059,0.00078418
109,0.009616,0.9948,0.860153,0.9061,0.00078220
110,0.008927,0.9950,0.864406,0.9066,0.00078022
111,0.008791,0.9950,0.867716,0.9063,0.00077824
112,0.008629,0.9951,0.876102,0.9068,0.00077626
113,0.008749,0.9950,0.877972,0.9069,0.00077428
114,0.008898,0.9949,0.885134,0.9066,0.00077230
115,0.009354,0.9949,0.886547,0.9066,0.00077032
116,0.009247,0.9949,0.883088,0.9067,0.00076834
117,0.009348,0.9948,0.884173,0.9065,0.00076636
118,0.009943,0.9948,0.896301,0.9064,0.00076438
119,0.009569,0.9948,0.890973,0.9065,0.00076240
120,0.009888,0.9947,0.889613,0.9060,0.00076042
121,0.009428,0.9948,0.893595,0.9065,0.00075844
122,0.009033,0.9949,0.892595,0.9068,0.00075646
123,0.008904,0.9949,0.895155,0.9066,0.00075448
124,0.008979,0.9949,0.897483,0.9064,0.00075250
125,0.008707,0.9949,0.899985,0.9065,0.00075052
126,0.008778,0.9950,0.901984,0.9069,0.00074854
127,0.008611,0.9951,0.904134,0.9065,0.00074656
128,0.008758,0.9950,0.913869,0.9060,0.00074458
129,0.008981,0.9950,0.898619,0.9060,0.00074260
130,0.008783,0.9951,0.905241,0.9063,0.00074062
131,0.008765,0.9951,0.893956,0.9063,0.00073864
132,0.008001,0.9951,0.908004,0.9062,0.00073666
133,0.007504,0.9953,0.906759,0.9068,0.00073468
134,0.007391,0.9953,0.927208,0.9068,0.00073270
135,0.007362,0.9953,0.926203,0.9069,0.00073072
136,0.008194,0.9951,0.922055,0.9067,0.00072874
137,0.007903,0.9952,0.924185,0.9066,0.00072676
138,0.008306,0.9951,0.923450,0.9065,0.00072478
139,0.008890,0.9950,0.922189,0.9060,0.00072280
140,0.009021,0.9949,0.920595,0.9058,0.00072082
141,0.008902,0.9950,0.913469,0.9062,0.00071884
142,0.008666,0.9950,0.914604,0.9057,0.00071686
143,0.008907,0.9951,0.925828,0.9060,0.00071488
144,0.008054,0.9952,0.920328,0.9058,0.00071290
145,0.007757,0.9951,0.923775,0.9061,0.00071092
146,0.007498,0.9953,0.933000,0.9060,0.00070894
147,0.007335,0.9954,0.934305,0.9063,0.00070696
148,0.007632,0.9954,0.936501,0.9063,0.00070498
149,0.007546,0.9953,0.938567,0.9063,0.00070300
150,0.007475,0.9953,0.939575,0.9066,0.00070102
151,0.007210,0.9954,0.939179,0.9066,0.00069904
152,0.007509,0.9954,0.955686,0.9063,0.00069706
153,0.008574,0.9951,0.937816,0.9066,0.00069508
154,0.008541,0.9950,0.946716,0.9060,0.00069310
155,0.007763,0.9952,0.951930,0.9062,0.00069112
156,0.007367,0.9953,0.954753,0.9066,0.00068914
157,0.007200,0.9953,0.963183,0.9067,0.00068716
158,0.007266,0.9953,0.963643,0.9066,0.00068518
159,0.007448,0.9953,0.952372,0.9064,0.00068320
160,0.007678,0.9952,0.972968,0.9065,0.00068122
