epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.805000,0.8036,0.577594,0.8456,0.00099505
1,0.582009,0.8427,0.530818,0.8571,0.00099010
2,0.517320,0.8562,0.510659,0.8629,0.00098515
3,0.471917,0.8659,0.502469,0.8645,0.00098020
4,0.434758,0.8741,0.496239,0.8669,0.00097525
5,0.404869,0.8802,0.494757,0.8678,0.00097030
6,0.380073,0.8857,0.492341,0.8697,0.00096535
7,0.356679,0.8907,0.495172,0.8684,0.00096040
8,0.337660,0.8954,0.497560,0.8692,0.00095545
9,0.321252,0.8993,0.499655,0.8699,0.00095050
10,0.306896,0.9028,0.502974,0.8701,0.00094555
11,0.293199,0.9060,0.506899,0.8704,0.00094060
12,0.283379,0.9085,0.509713,0.8707,0.00093565
13,0.271238,0.9113,0.516390,0.8709,0.00093070
14,0.262490,0.9139,0.515898,0.8703,0.00092575
15,0.254913,0.9155,0.524519,0.8701,0.00092080
16,0.246443,0.9182,0.527043,0.8704,0.00091585
17,0.239375,0.9199,0.529917,0.8701,0.00091090
18,0.234115,0.9213,0.532936,0.8706,0.00090595
19,0.226797,0.9235,0.540173,0.8701,0.00090100
20,0.222687,0.9246,0.541910,0.8702,0.00089605
21,0.216332,0.9266,0.546405,0.8707,0.00089110
22,0.211589,0.9279,0.549510,0.8698,0.00088615
23,0.207880,0.9289,0.552279,0.8701,0.00088120
24,0.202883,0.9302,0.553781,0.8697,0.00087625
25,0.199088,0.9317,0.557774,0.8695,0.00087130
26,0.194363,0.9331,0.563083,0.8700,0.00086635
27,0.191964,0.9339,0.562355,0.8709,0.00086140
28,0.187357,0.9351,0.568782,0.8709,0.00085645
29,0.185237,0.9357,0.570449,0.8699,0.00085150
30,0.181546,0.9369,0.572047,0.8698,0.00084655
31,0.179417,0.9374,0.577225,0.8703,0.00084160
32,0.175249,0.9388,0.578620,0.8693,0.00083665
33,0.174230,0.9392,0.583950,0.8697,0.00083170
